GeneratedReview,label,source,category,Prompt
"Am cumparat acest produs de pe eMAG si... nu am ramas dezamagit. In momentul in care ai comanda, te astepti la livrare rapida, dar in realitate se incarca foarte repede. Recomand! Nu lasati coletul sa ajunga mai devreme de 13-15 zile! Am folosit acest incarcator la incarcatorul original si de atunci nu am mai avut nevoie de un incarcator mai modern. Cu siguranta il voi incarca",fake,generated with fine-tuned model,uscator de rufe,Am cumparat acest produs de pe eMAG si...
"Am cumparat acest produs de pe eMAG si... E foarte bun. Am fost foarte surprins. Sunt super multumita de el. Am dat doar 4 lei pe el. Sper sa reziste si la o utilizare mai indelungata. Este foarte bun. Il recomand!Foarte multumit. Un produs de exceptie. Recomand!Recomand! Am dat doar 2 lei pe el. Am dat 3, am dat 2.",fake,generated with fine-tuned model,blender,Am cumparat acest produs de pe eMAG si...
"Am cumparat acest produs de pe eMAG si... nici macar nu am apucat sa pun in functiune telefonul. Am dat comanda pe 7 zile, insa mi-a luat 5 zile sa pot pune bateria pe telefon. Sunt total dezamagit! Are o putere foarte mica si nu a reusit nici macar o zi sa stea pe el. Am dat doar 2 lei pe el! Nu recomand! Merge foarte greu, sunt sceptic",fake,generated with fine-tuned model,masina de spalat,Am cumparat acest produs de pe eMAG si...
"Am cumparat acest produs de pe eMAG si... Eu sunt foarte multumita de el, dar si de telefon. Sunet de inalta performanta, cu care ma asteptam sa nu am probleme. Functioneaza bine, dar... Mai avem un pic de treaba la el, deoarece am instalat telefonul si pe telefon, deci nu are o experienta prea placuta. Il folosim zilnic pe post de telefon si, cum este pe baterii",fake,generated with fine-tuned model,laptop,Am cumparat acest produs de pe eMAG si...
"Am cumparat acest produs de pe eMAG si... Sunt incntata de el! Pe lnga faptul ca este de calitate, este si extrem de rezistent, ma astept ca in timp sa isi faca treaba.Recomand! E rezistent si arata foarte bine.Sunt mult mai multumita de acest telefon dect de Samsung!Camera este foarte buna, telefonul este extrem de elegant si simplu de folosit! Este exact ceea ce",fake,generated with fine-tuned model,telefon mobil,Am cumparat acest produs de pe eMAG si...
"Am cumparat acest produs de pe eMAG si... nu se potriveste cu telefonul meu. Este de 3 ani fara nicio problema si functioneaza. Nu am mai incercat acest model pna acum si nu am nimic de reprosat. Un telefon bun si usor de folosit. Se conecteaza la toate retelele posibile si mobile (cea romna, engleza, rusa, turca etc). Am avut probleme cu el. Nu am nevoie de el",fake,generated with fine-tuned model,carte,Am cumparat acest produs de pe eMAG si...
"Am cumparat acest produs de pe eMAG si...Am primit...Livrare rapida!Recomand! Nu am avut nevoie de transport si sunt foarte multumita! In plus, este destul de practic si are o culoare draguta. Nu se incinge si sunt la nivelul asteptarilor. Sunt multumita de el, este confortabil! Recomand.Am ales acest produs, am dat un ochi pe pagina eMAG, am",fake,generated with fine-tuned model,televizor,Am cumparat acest produs de pe eMAG si...
"Am cumparat acest produs de pe eMAG si... Am cumparat. Este identic ca si poza, arata exact ca in poze, cu un pret foarte ok. Se potriveste si pentru telefonul Huawei. Recomand cu incredere. In rest... Sunt foarte multumita. Sunt foarte multumita. Recomand. Recomand cu incredere. Telefonul merge perfect. Multumesc, Huawei! E super. Recomand. 🥰🥰🥰",fake,generated with fine-tuned model,husa de telefon,Am cumparat acest produs de pe eMAG si...
"Am cumparat acest produs de pe eMAG si... Mai ales ca pe emag au si discount! L-am luat pentru a face fata pretului. E foarte bun! Livrare rapida, livrare rapida, fara nimic de reprosat! Nu stiu cum functioneaza cu alte produse, dar avnd in vedere pretul lor mi s-au parut ok. Au fost la pret pe emag si eu, ca si client",fake,generated with fine-tuned model,casti audio,Am cumparat acest produs de pe eMAG si...
"Am cumparat acest produs de pe eMAG si... Nu stiu ce sa spun. Este foarte scump si nu se potriveste, nu are suport, nu am nici un fel de cunostinta si se cam rupe. Nu recomand. Nu merge, nici macar ca si telefon nu merge. Am incercat sa-l folosesc pentru a comanda un telefon Xiaomi si dupa ceva timp nu a mai mers pentru ca nu s-a mai",fake,generated with fine-tuned model,produs de baie,Am cumparat acest produs de pe eMAG si...
